DATE,KYOTOT
2014-04-01,165988.5
2014-07-01,167673.8
2014-10-01,169933.5
2015-01-01,171931.3
2015-04-01,173926.2
2015-07-01,175000.7
2015-10-01,176466.6
2016-01-01,175131.5
2016-04-01,176348.0
2016-07-01,178443.1
2016-10-01,178839.9
2017-01-01,180634.9
2017-04-01,181571.4
2017-07-01,182872.4
2017-10-01,184825.2
2018-01-01,185819.1
2018-04-01,187949.8
2018-07-01,188990.0
2018-10-01,190689.2
2019-01-01,194026.0
2019-04-01,195253.5
2019-07-01,196822.4
2019-10-01,198900.3
2020-01-01,200790.3
2020-04-01,226911.5
2020-07-01,209931.8
2020-10-01,210156.9
2021-01-01,240753.8
2021-04-01,221053.5
2021-07-01,225302.1
2021-10-01,226951.4
2022-01-01,229108.3
