DATE,RTWVDKY684NMFRBDAL
2007-06-01,98.3116
2007-07-01,96.6534
2007-08-01,97.0004
2007-09-01,95.3147
2007-10-01,92.5231
2007-11-01,91.286
2007-12-01,92.6408
2008-01-01,92.8401
2008-02-01,91.8046
2008-03-01,90.5358
2008-04-01,90.4008
2008-05-01,90.6233
2008-06-01,91.3772
2008-07-01,90.8465
2008-08-01,93.6264
2008-09-01,95.9075
2008-10-01,103.4568
2008-11-01,104.979
2008-12-01,103.3927
2009-01-01,104.3862
2009-02-01,106.8445
2009-03-01,107.5578
2009-04-01,104.7323
2009-05-01,100.5817
2009-06-01,99.1117
2009-07-01,98.6018
2009-08-01,96.6838
2009-09-01,95.9308
2009-10-01,94.2522
2009-11-01,93.677
2009-12-01,94.0838
2010-01-01,94.216
2010-02-01,95.5029
2010-03-01,94.6188
2010-04-01,93.7352
2010-05-01,96.7687
2010-06-01,97.2143
2010-07-01,95.5561
2010-08-01,94.7216
2010-09-01,93.8158
2010-10-01,91.1114
2010-11-01,91.1274
2010-12-01,91.692
2011-01-01,90.6177
2011-02-01,89.8536
2011-03-01,89.3576
2011-04-01,87.8605
2011-05-01,88.2549
2011-06-01,88.4989
2011-07-01,87.3949
2011-08-01,88.3576
2011-09-01,91.0544
2011-10-01,91.8938
2011-11-01,92.1255
2011-12-01,92.7074
2012-01-01,92.226
2012-02-01,90.5435
2012-03-01,91.3659
2012-04-01,91.5708
2012-05-01,93.1748
2012-06-01,94.7413
2012-07-01,93.7111
2012-08-01,92.7181
2012-09-01,91.5931
2012-10-01,91.477
2012-11-01,91.8572
2012-12-01,91.0469
2013-01-01,91.1237
2013-02-01,92.1148
2013-03-01,93.406
2013-04-01,92.7819
2013-05-01,93.221
2013-06-01,94.1624
2013-07-01,94.7785
2013-08-01,94.571
2013-09-01,94.0782
2013-10-01,92.9091
2013-11-01,93.5466
2013-12-01,93.8249
2014-01-01,95.1708
2014-02-01,95.2069
2014-03-01,95.2176
2014-04-01,94.4567
2014-05-01,94.2161
2014-06-01,94.3136
2014-07-01,93.834
2014-08-01,94.8363
2014-09-01,96.3483
2014-10-01,97.6803
2014-11-01,98.8236
2014-12-01,100.3293
2015-01-01,103.2158
2015-02-01,104.9494
2015-03-01,107.749
2015-04-01,106.6825
2015-05-01,105.4862
2015-06-01,106.5649
2015-07-01,108.6269
2015-08-01,110.4204
2015-09-01,111.8071
2015-10-01,110.8222
2015-11-01,112.2323
2015-12-01,113.2628
2016-01-01,116.2496
2016-02-01,114.2739
2016-03-01,111.7207
2016-04-01,109.6933
2016-05-01,110.5574
2016-06-01,111.0047
2016-07-01,111.7534
2016-08-01,110.8022
2016-09-01,111.8046
2016-10-01,113.3506
2016-11-01,115.4585
2016-12-01,116.5028
2017-01-01,115.9677
2017-02-01,114.5844
2017-03-01,114.8551
2017-04-01,114.1687
2017-05-01,113.7959
2017-06-01,112.6488
2017-07-01,109.7187
2017-08-01,108.4491
2017-09-01,107.514
2017-10-01,109.399
2017-11-01,109.8174
2017-12-01,109.2051
2018-01-01,106.864
2018-02-01,106.401
2018-03-01,107.349
2018-04-01,107.4327
2018-05-01,110.9299
2018-06-01,112.8197
2018-07-01,112.6041
2018-08-01,113.0541
2018-09-01,113.5023
2018-10-01,113.3906
2018-11-01,114.6209
2018-12-01,114.9432
2019-01-01,113.641
2019-02-01,113.321
2019-03-01,114.2624
2019-04-01,114.7734
2019-05-01,115.8987
2019-06-01,115.0364
2019-07-01,114.4944
2019-08-01,116.383
2019-09-01,117.0875
2019-10-01,116.4657
2019-11-01,116.1648
2019-12-01,115.0192
